"","Region","Country","State","City","Month","Day","Year","AvgTemperature","date_mine"
"1","Europe","Denmark",NA,"Copenhagen",1,1,1995,1.22222222222222,2021-01-01
"2","Europe","Denmark",NA,"Copenhagen",1,2,1995,-0.833333333333333,2021-01-02
"3","Europe","Denmark",NA,"Copenhagen",1,3,1995,-4,2021-01-03
"4","Europe","Denmark",NA,"Copenhagen",1,4,1995,-3.05555555555556,2021-01-04
"5","Europe","Denmark",NA,"Copenhagen",1,5,1995,-4.83333333333333,2021-01-05
"6","Europe","Denmark",NA,"Copenhagen",1,6,1995,-3.5,2021-01-06
"7","Europe","Denmark",NA,"Copenhagen",1,7,1995,-2.88888888888889,2021-01-07
"8","Europe","Denmark",NA,"Copenhagen",1,8,1995,-3.27777777777778,2021-01-08
"9","Europe","Denmark",NA,"Copenhagen",1,9,1995,0.833333333333333,2021-01-09
"10","Europe","Denmark",NA,"Copenhagen",1,10,1995,1.88888888888889,2021-01-10
"11","Europe","Denmark",NA,"Copenhagen",1,11,1995,0.166666666666665,2021-01-11
"12","Europe","Denmark",NA,"Copenhagen",1,12,1995,-1.5,2021-01-12
"13","Europe","Denmark",NA,"Copenhagen",1,13,1995,-2.94444444444445,2021-01-13
"14","Europe","Denmark",NA,"Copenhagen",1,14,1995,1.72222222222222,2021-01-14
"15","Europe","Denmark",NA,"Copenhagen",1,15,1995,1.77777777777778,2021-01-15
"16","Europe","Denmark",NA,"Copenhagen",1,16,1995,2.88888888888889,2021-01-16
"17","Europe","Denmark",NA,"Copenhagen",1,17,1995,1.11111111111111,2021-01-17
"18","Europe","Denmark",NA,"Copenhagen",1,18,1995,1.05555555555555,2021-01-18
"19","Europe","Denmark",NA,"Copenhagen",1,19,1995,-0.88888888888889,2021-01-19
"20","Europe","Denmark",NA,"Copenhagen",1,20,1995,0.833333333333333,2021-01-20
"21","Europe","Denmark",NA,"Copenhagen",1,21,1995,1.11111111111111,2021-01-21
"22","Europe","Denmark",NA,"Copenhagen",1,22,1995,1.5,2021-01-22
"23","Europe","Denmark",NA,"Copenhagen",1,23,1995,1.72222222222222,2021-01-23
"24","Europe","Denmark",NA,"Copenhagen",1,24,1995,2.55555555555556,2021-01-24
"25","Europe","Denmark",NA,"Copenhagen",1,25,1995,2.11111111111111,2021-01-25
"26","Europe","Denmark",NA,"Copenhagen",1,26,1995,0.166666666666665,2021-01-26
"27","Europe","Denmark",NA,"Copenhagen",1,27,1995,-0.444444444444445,2021-01-27
"28","Europe","Denmark",NA,"Copenhagen",1,28,1995,0.88888888888889,2021-01-28
"29","Europe","Denmark",NA,"Copenhagen",1,29,1995,0.777777777777777,2021-01-29
"30","Europe","Denmark",NA,"Copenhagen",1,30,1995,-2.33333333333333,2021-01-30
"31","Europe","Denmark",NA,"Copenhagen",1,31,1995,-4.44444444444444,2021-01-31
"32","Europe","Denmark",NA,"Copenhagen",2,1,1995,4.22222222222222,2021-02-01
"33","Europe","Denmark",NA,"Copenhagen",2,2,1995,2.27777777777778,2021-02-02
"34","Europe","Denmark",NA,"Copenhagen",2,3,1995,1.33333333333333,2021-02-03
"35","Europe","Denmark",NA,"Copenhagen",2,4,1995,5.11111111111111,2021-02-04
"36","Europe","Denmark",NA,"Copenhagen",2,5,1995,4.66666666666667,2021-02-05
"37","Europe","Denmark",NA,"Copenhagen",2,6,1995,6.11111111111111,2021-02-06
"38","Europe","Denmark",NA,"Copenhagen",2,7,1995,3.72222222222222,2021-02-07
"39","Europe","Denmark",NA,"Copenhagen",2,8,1995,-0.388888888888889,2021-02-08
"40","Europe","Denmark",NA,"Copenhagen",2,9,1995,-1.44444444444445,2021-02-09
"41","Europe","Denmark",NA,"Copenhagen",2,10,1995,-0.388888888888889,2021-02-10
"42","Europe","Denmark",NA,"Copenhagen",2,11,1995,-0.277777777777778,2021-02-11
"43","Europe","Denmark",NA,"Copenhagen",2,12,1995,5.83333333333333,2021-02-12
"44","Europe","Denmark",NA,"Copenhagen",2,13,1995,5.22222222222222,2021-02-13
"45","Europe","Denmark",NA,"Copenhagen",2,14,1995,4.94444444444444,2021-02-14
"46","Europe","Denmark",NA,"Copenhagen",2,15,1995,4.94444444444444,2021-02-15
"47","Europe","Denmark",NA,"Copenhagen",2,16,1995,5.16666666666667,2021-02-16
"48","Europe","Denmark",NA,"Copenhagen",2,17,1995,4.44444444444444,2021-02-17
"49","Europe","Denmark",NA,"Copenhagen",2,18,1995,3.83333333333333,2021-02-18
"50","Europe","Denmark",NA,"Copenhagen",2,19,1995,3.44444444444445,2021-02-19
"51","Europe","Denmark",NA,"Copenhagen",2,20,1995,2.88888888888889,2021-02-20
"52","Europe","Denmark",NA,"Copenhagen",2,21,1995,4.61111111111111,2021-02-21
"53","Europe","Denmark",NA,"Copenhagen",2,22,1995,5.05555555555556,2021-02-22
"54","Europe","Denmark",NA,"Copenhagen",2,23,1995,2.83333333333333,2021-02-23
"55","Europe","Denmark",NA,"Copenhagen",2,24,1995,2.66666666666667,2021-02-24
"56","Europe","Denmark",NA,"Copenhagen",2,25,1995,0.222222222222221,2021-02-25
"57","Europe","Denmark",NA,"Copenhagen",2,26,1995,1.16666666666667,2021-02-26
"58","Europe","Denmark",NA,"Copenhagen",2,27,1995,2.38888888888889,2021-02-27
"59","Europe","Denmark",NA,"Copenhagen",2,28,1995,7.16666666666667,2021-02-28
"60","Europe","Denmark",NA,"Copenhagen",3,1,1995,7.38888888888889,2021-03-01
"61","Europe","Denmark",NA,"Copenhagen",3,2,1995,2.55555555555556,2021-03-02
"62","Europe","Denmark",NA,"Copenhagen",3,3,1995,1.61111111111111,2021-03-03
"63","Europe","Denmark",NA,"Copenhagen",3,4,1995,2.27777777777778,2021-03-04
"64","Europe","Denmark",NA,"Copenhagen",3,5,1995,1.27777777777778,2021-03-05
"65","Europe","Denmark",NA,"Copenhagen",3,6,1995,2.16666666666667,2021-03-06
"66","Europe","Denmark",NA,"Copenhagen",3,7,1995,2.05555555555556,2021-03-07
"67","Europe","Denmark",NA,"Copenhagen",3,8,1995,2.83333333333333,2021-03-08
"68","Europe","Denmark",NA,"Copenhagen",3,9,1995,3.33333333333333,2021-03-09
"69","Europe","Denmark",NA,"Copenhagen",3,10,1995,2.38888888888889,2021-03-10
"70","Europe","Denmark",NA,"Copenhagen",3,11,1995,2,2021-03-11
"71","Europe","Denmark",NA,"Copenhagen",3,12,1995,2.38888888888889,2021-03-12
"72","Europe","Denmark",NA,"Copenhagen",3,13,1995,2.88888888888889,2021-03-13
"73","Europe","Denmark",NA,"Copenhagen",3,14,1995,-1.38888888888889,2021-03-14
"74","Europe","Denmark",NA,"Copenhagen",3,15,1995,-0.111111111111111,2021-03-15
"75","Europe","Denmark",NA,"Copenhagen",3,16,1995,1.83333333333333,2021-03-16
"76","Europe","Denmark",NA,"Copenhagen",3,17,1995,3.38888888888889,2021-03-17
"77","Europe","Denmark",NA,"Copenhagen",3,18,1995,3.61111111111111,2021-03-18
"78","Europe","Denmark",NA,"Copenhagen",3,19,1995,3.77777777777778,2021-03-19
"79","Europe","Denmark",NA,"Copenhagen",3,20,1995,4,2021-03-20
"80","Europe","Denmark",NA,"Copenhagen",3,21,1995,3.05555555555556,2021-03-21
"81","Europe","Denmark",NA,"Copenhagen",3,22,1995,2.83333333333333,2021-03-22
"82","Europe","Denmark",NA,"Copenhagen",3,23,1995,6.38888888888889,2021-03-23
"83","Europe","Denmark",NA,"Copenhagen",3,24,1995,6,2021-03-24
"84","Europe","Denmark",NA,"Copenhagen",3,25,1995,4.66666666666667,2021-03-25
"85","Europe","Denmark",NA,"Copenhagen",3,26,1995,4.05555555555555,2021-03-26
"86","Europe","Denmark",NA,"Copenhagen",3,27,1995,0.88888888888889,2021-03-27
"87","Europe","Denmark",NA,"Copenhagen",3,28,1995,-0.388888888888889,2021-03-28
"88","Europe","Denmark",NA,"Copenhagen",3,29,1995,-0.0555555555555564,2021-03-29
"89","Europe","Denmark",NA,"Copenhagen",3,30,1995,2.22222222222222,2021-03-30
"90","Europe","Denmark",NA,"Copenhagen",3,31,1995,3,2021-03-31
"91","Europe","Denmark",NA,"Copenhagen",4,1,1995,6.27777777777778,2021-04-01
