name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
copenhagen,2007-01-01,8.1,6.9,7.5,3.8,1.2,2.4,4.7,82.7,9.124,100,20.83,rain,0,0,,57.2,246.6,994.1,88.4,10.5,,,,,2007-01-01T08:39:02,2007-01-01T15:47:27,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-02,6.9,4.1,5.5,2,-0.1,1,2.9,83.7,0.032,100,4.17,rain,0,0,,41.3,265.8,1003.1,63.1,12.1,,,,,2007-01-02T08:38:47,2007-01-02T15:48:39,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-03,7,4.1,5.8,3.4,0.3,1.9,3.7,86.3,1.32,100,16.67,rain,0,0,,28.5,261.2,1012.9,76.7,10.9,,,,,2007-01-03T08:38:28,2007-01-03T15:49:55,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-04,8,7,7.6,4.2,2.4,3.4,6.8,94.8,3.905,100,50,rain,0,0,,35.7,225.6,995.7,93,7.8,,,,,2007-01-04T08:38:05,2007-01-04T15:51:14,0.53,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-05,8.1,6,7,4.3,1.9,3.1,4.6,84.6,0.826,100,16.67,rain,0,0,,34.2,275.5,1002.5,84.1,10.7,,,,,2007-01-05T08:37:38,2007-01-05T15:52:36,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-06,8,5.9,6.6,4.6,1.9,3.1,5.5,92.8,0.091,100,4.17,rain,0,0,,27.2,254.2,1009,82.2,10.6,,,,,2007-01-06T08:37:07,2007-01-06T15:54:02,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-07,8,5.2,6.5,4.4,1.5,3.2,5.6,93.9,2.526,100,20.83,rain,0,0,,28.9,229.4,1008,92.4,9.1,,,,,2007-01-07T08:36:32,2007-01-07T15:55:30,0.62,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-08,8,5.1,7,4.6,0.9,2.9,5.6,91,2.332,100,20.83,rain,0,0,,38.9,216.4,999.3,88,10.8,,,,,2007-01-08T08:35:54,2007-01-08T15:57:01,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-09,11,5.9,8.9,11,2,7,7.6,91.4,0.787,100,12.5,rain,0,0,,44.4,223.7,997,90.7,9.3,,,,,2007-01-09T08:35:11,2007-01-09T15:58:35,0.69,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-10,10,7,9.4,10,1.6,6.6,7.9,90.3,6.207,100,41.67,rain,0,0,,46.5,237.3,1000.4,90.1,10.1,,,,,2007-01-10T08:34:25,2007-01-10T16:00:11,0.72,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06180099999,06174099999,06170099999,02635099999"
