Variable:,tasmax
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Denmark,12.11,3.64,3.80,6.40,11.52,15.82,18.90,21.15,21.09,17.34,12.49,7.85,4.74
Vestsjaelland,11.98,3.63,3.57,5.95,10.84,15.32,18.71,21.07,20.94,17.37,12.61,8.14,5.00
Vejle,12.19,3.52,3.76,6.57,11.86,16.15,19.12,21.34,21.32,17.32,12.51,7.67,4.57
Aarhus,12.24,3.50,3.69,6.51,11.76,16.24,19.29,21.68,21.40,17.39,12.35,7.67,4.73
Storstroem,12.07,3.63,3.66,6.18,11.03,15.30,18.94,21.11,21.04,17.65,12.90,8.17,4.69
Soenderjylland,12.41,3.82,4.12,6.83,12.03,16.20,19.12,21.35,21.46,17.65,12.85,8.04,4.90
Ringkoebing,11.88,3.82,3.96,6.25,11.35,15.42,18.30,20.43,20.56,17.10,12.45,7.81,4.61
Ribe,12.15,3.89,4.08,6.49,11.75,15.85,18.69,20.82,20.98,17.33,12.73,7.93,4.68
Roskilde,12.41,3.68,3.79,6.44,11.61,16.11,19.60,21.76,21.53,17.87,12.85,8.21,4.94
Nordjylland,11.95,3.38,3.56,6.29,11.33,15.73,18.87,21.21,20.96,17.12,12.07,7.62,4.65
Koebenhavn,12.69,3.69,3.87,6.70,12.14,16.73,20.16,22.34,22.05,18.03,12.81,8.19,4.99
Frederiksborg,12.68,3.72,3.91,6.73,12.12,16.75,20.08,22.23,21.94,18.02,12.83,8.21,5.04
Fyn,12.17,3.69,3.79,6.36,11.35,15.62,18.91,21.32,21.33,17.41,12.65,8.06,5.01
Viborg,11.93,3.61,3.74,6.34,11.34,15.59,18.56,20.77,20.82,17.12,12.33,7.71,4.64
Frederiksberg,12.56,3.49,3.68,6.49,12.07,16.71,20.10,22.35,22.05,17.85,12.60,7.96,4.80
Bornholm,11.67,3.10,3.13,5.22,10.18,14.76,18.59,21.35,21.38,17.33,12.20,7.69,4.54
